Participant_ID,Type,Active,Removal_Round,Avg_Krum_Score
492,honest,True,N/A,3.236194676116032e-05
595,honest,True,N/A,0.00012344261834455622
721,honest,True,N/A,2.2341533645815886e-05
175,honest,True,N/A,2.941724198473656e-05
597,honest,True,N/A,3.5541094188250675e-05
181,honest,True,N/A,2.1435520450681494e-05
637,honest,True,N/A,3.17981951434893e-05
65,honest,True,N/A,0.00011226675495896126
654,honest,True,N/A,2.741682046482972e-05
228,honest,True,N/A,0.00025228749612664234
450,adversarial,False,11,737.2842321058683
322,adversarial,False,8,418.5270215918795
469,adversarial,False,21,495.7600831310933
238,adversarial,False,14,599.8762788517134
410,adversarial,False,19,366.1403452049003
643,adversarial,False,22,531.9214080705683
328,adversarial,False,18,543.8076249711557
407,adversarial,False,13,579.146711334444
373,adversarial,False,11,1004.1049792082472
